Date,Close
10/13/2021 16:00:00,44.65
10/14/2021 16:00:00,44.91
10/15/2021 16:00:00,47.41
10/18/2021 16:00:00,45.65
10/19/2021 16:00:00,48.82
10/20/2021 16:00:00,51.75
10/21/2021 16:00:00,48.97
10/22/2021 16:00:00,48.75
10/25/2021 16:00:00,50.89
10/26/2021 16:00:00,49.43
10/27/2021 16:00:00,46.7
10/28/2021 16:00:00,48.69
10/29/2021 16:00:00,49.69
11/1/2021 16:00:00,49.24
11/2/2021 16:00:00,50.46
11/3/2021 16:00:00,50.12
11/4/2021 16:00:00,48.87
11/5/2021 16:00:00,48.57
11/8/2021 16:00:00,52.3
11/9/2021 16:00:00,53.49
11/10/2021 16:00:00,53.42
11/11/2021 16:00:00,52.19
11/12/2021 16:00:00,51.47
11/15/2021 16:00:00,51.18
11/16/2021 16:00:00,47.07
11/17/2021 16:00:00,48.38
11/18/2021 16:00:00,46.48
11/19/2021 16:00:00,47.14
11/22/2021 16:00:00,45.15
11/23/2021 16:00:00,46.88
11/24/2021 16:00:00,46.42
11/26/2021 13:00:00,44.33
11/29/2021 16:00:00,47.18
11/30/2021 16:00:00,46.22
12/1/2021 16:00:00,44.87
12/2/2021 16:00:00,45.39
12/3/2021 16:00:00,41.85
12/6/2021 16:00:00,38.4
12/7/2021 16:00:00,40.1
12/8/2021 16:00:00,40.33
12/9/2021 16:00:00,37.1
12/10/2021 16:00:00,37.28
12/13/2021 16:00:00,35.41
12/14/2021 16:00:00,36.7
12/15/2021 16:00:00,37.66
12/16/2021 16:00:00,36.31
12/17/2021 16:00:00,34.42
12/20/2021 16:00:00,34.47
12/21/2021 16:00:00,36.53
12/22/2021 16:00:00,37
12/23/2021 16:00:00,39.14
12/27/2021 16:00:00,39.29
12/28/2021 16:00:00,36.33
12/29/2021 16:00:00,35.36
12/30/2021 16:00:00,35.39
12/31/2021 16:00:00,34.25
1/3/2022 16:00:00,34.27
1/4/2022 16:00:00,34.66
1/5/2022 16:00:00,32.49
1/6/2022 16:00:00,31.94
1/7/2022 16:00:00,30.74
1/10/2022 16:00:00,30.17
1/11/2022 16:00:00,31.15
1/12/2022 16:00:00,31.95
1/13/2022 16:00:00,30.5
1/14/2022 16:00:00,30.53
1/18/2022 16:00:00,28.57
1/19/2022 16:00:00,28.02
1/20/2022 16:00:00,29.02
1/21/2022 16:00:00,25.59
1/24/2022 16:00:00,25.9
1/25/2022 16:00:00,25.43
1/26/2022 16:00:00,25.44
1/27/2022 16:00:00,24.11
1/28/2022 16:00:00,25.74
1/31/2022 16:00:00,26.24
2/1/2022 16:00:00,26.27
2/2/2022 16:00:00,25.55
2/3/2022 16:00:00,24.63
2/4/2022 16:00:00,27.96
2/7/2022 16:00:00,30.57
2/8/2022 16:00:00,31.35
2/9/2022 16:00:00,32.08
2/10/2022 16:00:00,31
2/11/2022 16:00:00,29.61
2/14/2022 16:00:00,29.45
2/15/2022 16:00:00,31.29
2/16/2022 16:00:00,31.12
2/17/2022 16:00:00,28.34
2/18/2022 16:00:00,27.3
2/22/2022 16:00:00,25.93
2/23/2022 16:00:00,25.63
2/24/2022 16:00:00,26.59
2/25/2022 16:00:00,27.18
2/28/2022 16:00:00,29.39
3/1/2022 16:00:00,30.75
3/2/2022 16:00:00,30.18
3/3/2022 16:00:00,28.11
3/4/2022 16:00:00,26.13
3/7/2022 16:00:00,24.67
3/8/2022 16:00:00,25.5
3/9/2022 16:00:00,28.1
3/10/2022 16:00:00,26.6
3/11/2022 16:00:00,25.51
3/14/2022 16:00:00,25.4
3/15/2022 16:00:00,26.34
3/16/2022 16:00:00,27.5
3/17/2022 16:00:00,27.65
3/18/2022 16:00:00,28.7
3/21/2022 16:00:00,27.69
3/22/2022 16:00:00,28.75
3/23/2022 16:00:00,28.61
3/24/2022 16:00:00,30.51
3/25/2022 16:00:00,30.17
3/28/2022 16:00:00,32.81
3/29/2022 16:00:00,32.87
3/30/2022 16:00:00,32.06
3/31/2022 16:00:00,30.54
4/1/2022 16:00:00,32.05
4/4/2022 16:00:00,32.08
4/5/2022 16:00:00,32.13
4/6/2022 16:00:00,30.21
4/7/2022 16:00:00,30.38
4/8/2022 16:00:00,29.82
