Date,Close
10/13/21,726.3
10/14/21,723.95
10/15/21,749.85
10/18/21,739.64
10/19/21,727.25
10/20/21,758.18
10/21/21,735.43
10/22/21,718.52
10/25/21,746.02
10/26/21,734.86
10/27/21,715.02
10/28/21,717.13
10/29/21,715.06
11/1/21,736.12
11/2/21,794.14
11/3/21,810.25
11/4/21,800
11/5/21,797.51
11/8/21,860
11/9/21,859.01
11/10/21,816.34
11/11/21,818.36
11/12/21,811.73
11/15/21,795
11/16/21,752.02
11/17/21,753
11/18/21,727.36
11/19/21,718.31
11/22/21,690.02
11/23/21,696.77
11/24/21,700.9
11/26/21,663
11/29/21,695.48
11/30/21,721.43
12/1/21,705.47
12/2/21,683.36
12/3/21,630.99
12/6/21,596.47
12/7/21,628.17
12/8/21,636.54
12/9/21,591.88
12/10/21,600.84
12/13/21,571.64
12/14/21,580.38
12/15/21,598.59
12/16/21,566.94
12/17/21,571.58
12/20/21,546.39
12/21/21,567.5
12/22/21,569.99
12/23/21,597.21
12/27/21,608.28
12/28/21,567.97
12/29/21,556.09
12/30/21,562.34
12/31/21,544.49
1/3/22,558.26
1/4/22,551.07
1/5/22,509.1
1/6/22,498.62
1/7/22,482.95
1/10/22,481.95
1/11/22,506.56
1/12/22,514.64
1/13/22,489.59
1/14/22,499.56
1/18/22,468.28
1/19/22,460.42
1/20/22,457.53
1/21/22,375.89
1/24/22,370.45
1/25/22,365.05
1/26/22,353.65
1/27/22,319.45
1/28/22,338.95
1/31/22,368.01
2/1/22,373
2/2/22,348.84
2/3/22,340.09
2/4/22,391.64
2/7/22,413.47
2/8/22,425.43
2/9/22,446.6
2/10/22,431.48
2/11/22,411.01
2/14/22,409.49
2/15/22,437.24
2/16/22,434.98
2/17/22,404.6
2/18/22,395.97
2/22/22,377.7
2/23/22,365.03
2/24/22,396.96
2/25/22,405
2/28/22,443
3/1/22,464.73
3/2/22,459.29
3/3/22,428.7
3/4/22,410.36
